;;Consumption_1;Consumption_2;Consumption_3;Consumption_Flag1;Consumption_Flag2;Consumption_Par1;Consumption_Par10;Consumption_Par11;Consumption_Par12;Consumption_Par13;Consumption_Par14
;Total []:;1.750.890,300;8.851.850,095;2.193.950,835;641.711.102,868;679.451.992,667;718.989.499,408;682.565.948,893;681.735.364,550;683.900.075,097;682.629.523,332;683.293.597,140
17.12.2020 00:00;17.12.2020 01:00;30,050;435,409;55,082;53.712,422;46.729,811;54.311,837;57.570,540;57.027,423;48.880,653;44.535,711;45.078,829
17.12.2020 01:00;17.12.2020 02:00;33,550;439,723;58,958;53.119,086;53.119,089;52.665,591;42.659,135;45.292,408;46.872,381;52.138,931;52.138,937
17.12.2020 02:00;17.12.2020 03:00;34,100;436,727;58,814;51.972,473;56.130,267;51.694,582;54.279,311;43.940,398;55.313,203;43.940,397;55.830,149
17.12.2020 03:00;17.12.2020 04:00;75,650;481,055;101,044;53.444,189;50.237,542;53.596,549;55.204,444;51.452,691;57.884,265;49.308,832;57.884,273
17.12.2020 04:00;17.12.2020 05:00;182,850;588,693;210,365;56.176,612;61.232,502;61.488,021;59.643,381;65.792,181;51.035,065;67.636,820;65.177,295
17.12.2020 05:00;17.12.2020 06:00;198,850;600,600;225,129;65.199,320;61.939,357;72.269,634;71.546,934;75.883,113;73.715,029;73.715,020;63.597,274
17.12.2020 06:00;17.12.2020 07:00;185,000;591,001;208,353;78.664,350;80.237,635;87.723,535;78.951,177;86.846,300;92.986,944;76.319,488;70.178,829
17.12.2020 07:00;17.12.2020 08:00;176,250;582,138;202,259;88.019,304;85.378,723;95.521,297;77.372,265;94.566,076;95.521,287;105.073,418;78.327,465
17.12.2020 08:00;17.12.2020 09:00;163,950;567,568;186,804;87.935,259;81.779,789;96.537,726;104.260,729;81.091,695;78.195,569;88.814,708;81.091,689
17.12.2020 09:00;17.12.2020 10:00;172,300;577,693;197,114;91.819,652;81.719,494;91.807,851;73.446,281;86.299,375;95.480,158;85.381,308;76.200,517
17.12.2020 10:00;17.12.2020 11:00;164,050;568,325;189,503;84.618,085;82.925,721;87.505,007;70.004,015;72.629,160;78.754,513;93.630,359;73.504,216
17.12.2020 11:00;17.12.2020 12:00;156,950;562,175;183,523;82.865,617;76.236,364;84.432,826;84.432,818;78.522,533;88.654,457;92.876,104;89.498,795
17.12.2020 12:00;17.12.2020 13:00;143,850;548,033;171,075;79.779,485;67.014,773;85.155,269;72.381,983;89.413,024;71.530,431;86.006,822;89.413,032
17.12.2020 13:00;17.12.2020 14:00;125,850;530,491;151,621;75.959,108;75.199,519;82.192,887;77.261,312;69.863,958;77.261,311;82.192,885;84.658,675
17.12.2020 14:00;17.12.2020 15:00;103,600;508,689;128,915;77.862,502;80.198,378;85.440,315;77.750,695;80.313,891;76.041,889;82.022,697;90.566,731
17.12.2020 15:00;17.12.2020 16:00;92,650;497,094;120,290;79.231,217;83.192,778;84.293,703;91.880,130;70.806,719;90.194,255;70.806,716;84.293,701
17.12.2020 16:00;17.12.2020 17:00;90,600;493,743;113,547;84.103,434;87.467,565;87.876,960;85.240,651;88.755,731;81.725,577;84.361,884;85.240,643
17.12.2020 17:00;17.12.2020 18:00;58,350;463,550;85,303;86.717,114;78.045,407;87.062,243;83.579,748;89.674,106;87.062,236;87.062,243;69.649,797
17.12.2020 18:00;17.12.2020 19:00;40,350;447,709;62,141;87.524,680;87.524,680;88.716,000;76.295,767;84.280,208;75.408,600;87.828,834;76.295,768
17.12.2020 19:00;17.12.2020 20:00;34,200;439,416;60,933;89.041,099;89.041,103;89.986,716;89.986,708;98.985,376;76.488,715;77.388,580;90.886,582
17.12.2020 20:00;17.12.2020 21:00;34,950;437,609;60,002;87.049,722;94.013,697;86.560,817;73.576,698;74.442,304;84.829,595;83.098,382;86.560,811
17.12.2020 21:00;17.12.2020 22:00;31,800;434,646;55,868;83.141,715;83.973,132;77.108,934;73.253,484;69.398,047;65.542,596;70.940,217;66.313,682
17.12.2020 22:00;17.12.2020 23:00;32,250;437,609;58,544;71.813,622;71.813,623;65.149,238;56.679,836;70.361,168;59.937,304;55.376,857;54.073,869
17.12.2020 23:00;18.12.2020 00:00;33,200;439,538;56,119;64.252,977;66.180,559;58.225,203;48.909,176;47.162,420;62.883,211;57.060,703;51.238,183
18.12.2020 00:00;18.12.2020 01:00;30,050;435,409;55,082;58.836,428;47.657,507;53.463,856;54.533,135;52.929,215;42.771,093;58.810,241;54.533,130
18.12.2020 01:00;18.12.2020 02:00;33,550;439,723;58,958;57.840,384;47.429,123;48.805,871;53.686,452;43.925,288;53.686,454;53.198,399;45.389,463
18.12.2020 02:00;18.12.2020 03:00;34,100;436,727;58,814;58.644,730;63.336,306;50.645,962;43.555,533;52.671,799;47.607,201;54.697,635;51.658,880
18.12.2020 03:00;18.12.2020 04:00;75,650;481,055;101,044;58.439,087;59.023,481;51.106,613;54.684,070;50.595,550;42.929,558;49.062,349;51.106,614
18.12.2020 04:00;18.12.2020 05:00;182,850;588,693;210,365;64.892,108;71.381,310;56.087,561;49.917,928;60.574,567;52.161,428;55.526,680;57.770,182
18.12.2020 05:00;18.12.2020 06:00;198,850;600,600;225,129;81.129,258;73.827,631;71.334,389;61.347,572;78.467,820;58.494,202;60.634,234;62.774,259
18.12.2020 06:00;18.12.2020 07:00;185,000;591,001;208,353;95.902,918;97.820,971;86.667,048;71.066,991;82.333,702;76.267,000;79.733,689;70.200,318
18.12.2020 07:00;18.12.2020 08:00;176,250;582,138;202,259;109.642,615;100.871,214;96.341,736;100.195,400;103.085,644;80.927,069;97.305,143;94.414,892
18.12.2020 08:00;18.12.2020 09:00;163,950;567,568;186,804;108.658,727;114.091,651;92.395,464;86.851,736;74.840,327;97.015,238;75.764,283;73.916,371
18.12.2020 09:00;18.12.2020 10:00;172,300;577,693;197,114;103.043,320;84.495,528;87.050,079;82.697,577;72.251,572;94.014,080;75.733,570;69.640,069
18.12.2020 10:00;18.12.2020 11:00;164,050;568,325;189,503;97.101,739;90.304,619;81.996,895;80.356,962;78.717,019;78.717,015;73.797,204;76.257,111
18.12.2020 11:00;18.12.2020 12:00;156,950;562,175;183,523;92.555,335;88.853,122;81.159,642;89.275,600;78.724,856;71.420,491;71.420,485;73.043,681
18.12.2020 12:00;18.12.2020 13:00;143,850;548,033;171,075;84.767,589;82.224,561;77.481,965;73.607,873;80.581,242;78.256,786;68.184,132;75.157,507
18.12.2020 13:00;18.12.2020 14:00;125,850;530,491;151,621;87.633,055;85.004,064;76.384,349;84.022,778;77.148,193;78.675,880;71.801,292;74.856,665
